"","Place","Region","Confirmed","newConfirmed","Deaths","newDeaths","Est.Recovered","Est.Active","Last Update","Recovered","Active"
"","United States","United States","39,911,147","0","647,590","0","36,660,319","2,603,238","2021-09-05 12:00:00","0","39,263,557"
"","India","India","32,987,615","0","440,567","0","32,130,576","416,472","2021-09-05 12:00:00","32,130,576","416,472"
"","Brazil","Brazil","20,877,864","0","583,362","0","19,886,686","407,816","2021-09-05 12:00:00","19,838,912","455,590"
"","Russia","Russia","7,012,599","18,645","187,200","793","6,486,952","338,447","2021-09-05 12:00:00","6,270,731","554,668"
"","United Kingdom","United Kingdom","6,941,611","0","133,161","0","6,260,699","547,751","2021-09-05 12:00:00","",""
"","France","France","6,605,354","0","112,940","0","6,244,906","247,508","2021-09-05 12:00:00","",""
"","Turkey","Turkey","6,478,663","0","57,837","0","6,085,526","335,300","2021-09-05 12:00:00","5,906,376","514,450"
"","Argentina","Argentina","5,202,405","0","112,444","0","4,990,935","99,026","2021-09-05 12:00:00","4,895,988","193,973"
"","Iran","Iran","5,103,537","0","110,064","0","4,445,192","548,281","2021-09-05 12:00:00","4,332,892","660,581"
"","Colombia","Colombia","4,916,980","0","125,230","0","4,749,145","42,605","2021-09-05 12:00:00","4,746,546","45,204"
"","Spain","Spain","4,877,755","0","84,795","0","4,637,686","155,274","2021-09-05 12:00:00","",""
"","Italy","Italy","4,566,126","0","129,466","0","4,334,439","102,221","2021-09-05 12:00:00","4,299,621","137,039"
"","Indonesia","Indonesia","4,129,020","5,403","135,861","392","3,837,640","155,519","2021-09-05 12:00:00","3,837,640","155,519"
"","Germany","Germany","4,005,494","0","92,849","0","3,766,577","146,068","2021-09-05 12:00:00","3,763,545","149,100"
"","Mexico","Mexico","3,420,880","15,586","262,868","647","2,896,391","261,621","2021-09-05 12:00:00","2,757,795","400,217"
"","Poland","Poland","2,890,484","323","75,379","0","2,810,727","4,378","2021-09-05 12:00:00","2,657,527","157,578"
"","South Africa","South Africa","2,814,014","0","83,343","0","2,586,646","144,025","2021-09-05 12:00:00","2,586,646","144,025"
"","Ukraine","Ukraine","2,297,534","1,379","53,983","17","2,217,115","26,436","2021-09-05 12:00:00","2,212,720","30,831"
"","Peru","Peru","2,154,132","1,040","198,447","27","1,938,476","17,209","2021-09-05 12:00:00","",""
"","Philippines","Philippines","2,080,984","19,900","34,234","172","1,889,312","157,438","2021-09-05 12:00:00","1,889,312","157,438"
"","Netherlands","Netherlands","1,951,186","0","18,035","0","1,892,356","40,795","2021-09-05 12:00:00","",""
"","Iraq","Iraq","1,912,395","0","21,042","0","1,774,691","116,662","2021-09-05 12:00:00","1,764,001","127,352"
"","Malaysia","Malaysia","1,844,835","20,396","18,219","336","1,570,827","255,789","2021-09-05 12:00:00","1,570,827","255,789"
"","Czech Republic","Czech Republic","1,680,559","205","30,406","0","1,647,873","2,280","2021-09-05 12:00:00","1,647,873","2,280"
"","Chile","Chile","1,640,666","0","37,067","0","1,597,772","5,827","2021-09-05 12:00:00","1,597,772","5,827"
"","Japan","Japan","1,556,998","15,470","16,313","66","1,343,613","197,072","2021-09-05 12:00:00","1,343,613","197,072"
